PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date
26746130,Epidemiology of human coronavirus NL63 infection among hospitalized patients with pneumonia in Taiwan,"Huang SH, Su MC, Tien N, Huang CJ, Lan YC, Lin CS, Chen CH, Lin CW.",J Microbiol Immunol Infect. 2017 Dec;50(6):763-770. doi: 10.1016/j.jmii.2015.10.008. Epub 2015 Nov 19.,Huang SH,J Microbiol Immunol Infect,2017,2016/01/10
26320399,Phage display technique identifies the interaction of severe acute respiratory syndrome coronavirus open reading frame 6 protein with nuclear pore complex interacting protein NPIPB3 in modulating Type I interferon antagonism,"Huang SH, Lee TY, Lin YJ, Wan L, Lai CH, Lin CW.",J Microbiol Immunol Infect. 2017 Jun;50(3):277-285. doi: 10.1016/j.jmii.2015.07.002. Epub 2015 Jul 31.,Huang SH,J Microbiol Immunol Infect,2017,2015/09/01
26256102,Dromedary Camels and the Transmission of Middle East Respiratory Syndrome Coronavirus (MERS-CoV),"Hemida MG, Elmoslemany A, Al-Hizab F, Alnaeem A, Almathen F, Faye B, Chu DK, Perera RA, Peiris M.",Transbound Emerg Dis. 2017 Apr;64(2):344-353. doi: 10.1111/tbed.12401. Epub 2015 Aug 10.,Hemida MG,Transbound Emerg Dis,2017,2015/08/11
25903998,Phylogenetic Analysis of the Spike (S) Gene of the New Variants of Porcine Epidemic Diarrhoea Virus in Taiwan,"Chiou HY, Huang YL, Deng MC, Chang CY, Jeng CR, Tsai PS, Yang C, Pang VF, Chang HW.",Transbound Emerg Dis. 2017 Feb;64(1):157-166. doi: 10.1111/tbed.12357. Epub 2015 Apr 22.,Chiou HY,Transbound Emerg Dis,2017,2015/04/24
27637887,Identification of a Lineage D Betacoronavirus in Cave Nectar Bats (Eonycteris spelaea) in Singapore and an Overview of Lineage D Reservoir Ecology in SE Asian Bats,"Mendenhall IH, Borthwick S, Neves ES, Low D, Linster M, Liang B, Skiles M, Jayakumar J, Han H, Gunalan V, Lee BPY, Okahara K, Wang LF, Maurer-Stroh S, Su YCF, Smith GJD.",Transbound Emerg Dis. 2017 Dec;64(6):1790-1800. doi: 10.1111/tbed.12568. Epub 2016 Sep 16.,Mendenhall IH,Transbound Emerg Dis,2017,2016/09/18
27161288,Experimental Infection of Young Pigs with an Early European Strain of Porcine Epidemic Diarrhoea Virus and a Recent US Strain,"Lohse L, Krog JS, Strandbygaard B, Rasmussen TB, Kjaer J, Belsham GJ, Bøtner A.",Transbound Emerg Dis. 2017 Oct;64(5):1380-1386. doi: 10.1111/tbed.12509. Epub 2016 May 10.,Lohse L,Transbound Emerg Dis,2017,2016/05/11
27555489,Frequency of electrophoretic changes consistent with feline infectious peritonitis in two different time periods (2004-2009 vs 2013-2014),"Stranieri A, Giordano A, Bo S, Braghiroli C, Paltrinieri S.",J Feline Med Surg. 2017 Aug;19(8):880-887. doi: 10.1177/1098612X16664389. Epub 2016 Aug 23.,Stranieri A,J Feline Med Surg,2017,2016/08/25
27964998,Vaccines for porcine epidemic diarrhea virus and other swine coronaviruses,"Gerdts V, Zakhartchouk A.",Vet Microbiol. 2017 Jul;206:45-51. doi: 10.1016/j.vetmic.2016.11.029. Epub 2016 Dec 2.,Gerdts V,Vet Microbiol,2017,2016/12/15
27502524,Are Saudi medical students aware of middle east respiratory syndrome coronavirus during an outbreak?,"Al-Mohrej A, Agha S.",J Infect Public Health. 2017 Jul-Aug;10(4):388-395. doi: 10.1016/j.jiph.2016.06.013. Epub 2016 Aug 5.,Al-Mohrej A,J Infect Public Health,2017,2016/08/10
27986520,"Delayed management of Staphyloccocus aureus infective endocarditis in a Middle East respiratory syndrome coronavirus possible case hospitalized in 2015 in Paris, France","Bleibtreu A, Arias P, Vallois D, Debit A, Lermuzeaux M, Rioux C, Cabras O, Lucet JC, Choquet C, Timsit JF, Yazdanpanah Y, Lescure FX.",Clin Microbiol Infect. 2017 Jun;23(6):416-417. doi: 10.1016/j.cmi.2016.11.021. Epub 2016 Dec 13.,Bleibtreu A,Clin Microbiol Infect,2017,2016/12/18
27354226,Transduction of hematopoietic stem cells to stimulate RNA interference against feline infectious peritonitis,"Anis EA, Dhar M, Legendre AM, Wilkes RP.",J Feline Med Surg. 2017 Jun;19(6):680-686. doi: 10.1177/1098612X16654958. Epub 2016 Jun 27.,Anis EA,J Feline Med Surg,2017,2016/06/30
27095828,Diagnostic utility of cerebrospinal fluid immunocytochemistry for diagnosis of feline infectious peritonitis manifesting in the central nervous system,"Gruendl S, Matiasek K, Matiasek L, Fischer A, Felten S, Jurina K, Hartmann K.",J Feline Med Surg. 2017 Jun;19(6):576-585. doi: 10.1177/1098612X16640839. Epub 2016 Apr 19.,Gruendl S,J Feline Med Surg,2017,2016/04/21
27894035,"An isothermal, label-free, and rapid one-step RNA amplification/detection assay for diagnosis of respiratory viral infections","Koo B, Jin CE, Lee TY, Lee JH, Park MK, Sung H, Park SY, Lee HJ, Kim SM, Kim JY, Kim SH, Shin Y.",Biosens Bioelectron. 2017 Apr 15;90:187-194. doi: 10.1016/j.bios.2016.11.051. Epub 2016 Nov 23.,Koo B,Biosens Bioelectron,2017,2016/11/29
27791596,Antiviral Compounds Against Nucleocapsid Protein of Porcine Epidemic Diarrhea Virus,"Deejai N, Roshorm YM, Kubera A.",Anim Biotechnol. 2017 Apr 3;28(2):120-130. doi: 10.1080/10495398.2016.1232268. Epub 2016 Oct 28.,Deejai N,Anim Biotechnol,2017,2016/10/30
28040513,Novel chimeric virus-like particles vaccine displaying MERS-CoV receptor-binding domain induce specific humoral and cellular immune response in mice,"Wang C, Zheng X, Gai W, Wong G, Wang H, Jin H, Feng N, Zhao Y, Zhang W, Li N, Zhao G, Li J, Yan J, Gao Y, Hu G, Yang S, Xia X.",Antiviral Res. 2017 Apr;140:55-61. doi: 10.1016/j.antiviral.2016.12.019. Epub 2016 Dec 28.,Wang C,Antiviral Res,2017,2017/01/02
28005234,The genetic diversity and complete genome analysis of two novel porcine deltacoronavirus isolates in Thailand in 2015,"Lorsirigool A, Saeng-Chuto K, Madapong A, Temeeyasen G, Tripipat T, Kaewprommal P, Tantituvanont A, Piriyapongsa J, Nilubol D.",Virus Genes. 2017 Apr;53(2):240-248. doi: 10.1007/s11262-016-1413-z. Epub 2016 Dec 22.,Lorsirigool A,Virus Genes,2017,2016/12/23
27943331,Genomic investigation of piglet resilience following porcine epidemic diarrhea outbreaks,"Bertolini F, Harding JC, Mote B, Ladinig A, Plastow GS, Rothschild MF.",Anim Genet. 2017 Apr;48(2):228-232. doi: 10.1111/age.12522. Epub 2016 Dec 12.,Bertolini F,Anim Genet,2017,2016/12/13
27848068,Inhibition of porcine transmissible gastroenteritis virus infection in porcine kidney cells using short hairpin RNAs targeting the membrane gene,"Wang L, Dai X, Song H, Yuan P, Yang Z, Dong W, Song Z.",Virus Genes. 2017 Apr;53(2):226-232. doi: 10.1007/s11262-016-1409-8. Epub 2016 Nov 15.,Wang L,Virus Genes,2017,2016/11/17
27624876,Selection of reference genes for gene expression analysis by real-time qPCR in avian cells infected with infectious bronchitis virus,"Batra A, Maier HJ, Fife MS.",Avian Pathol. 2017 Apr;46(2):173-180. doi: 10.1080/03079457.2016.1235258. Epub 2016 Dec 7.,Batra A,Avian Pathol,2017,2016/09/15
27624642,A survey for selected avian viral pathogens in backyard chicken farms in Finland,"Pohjola L, Tammiranta N, Ek-Kommonen C, Soveri T, Hänninen ML, Fredriksson Ahomaa M, Huovilainen A.",Avian Pathol. 2017 Apr;46(2):166-172. doi: 10.1080/03079457.2016.1232804. Epub 2016 Dec 8.,Pohjola L,Avian Pathol,2017,2016/09/15
26902098,Investigation into the utility of an immunocytochemical assay in body cavity effusions for diagnosis of feline infectious peritonitis,"Felten S, Matiasek K, Gruendl S, Sangl L, Wess G, Hartmann K.",J Feline Med Surg. 2017 Apr;19(4):410-418. doi: 10.1177/1098612X16630357. Epub 2016 Feb 1.,Felten S,J Feline Med Surg,2017,2016/02/24
26787293,"Comparison of real-time reverse transcriptase polymerase chain reaction of peripheral blood mononuclear cells, serum and cell-free body cavity effusion for the diagnosis of feline infectious peritonitis","Doenges SJ, Weber K, Dorsch R, Fux R, Hartmann K.",J Feline Med Surg. 2017 Apr;19(4):344-350. doi: 10.1177/1098612X15625354. Epub 2016 Jul 9.,Doenges SJ,J Feline Med Surg,2017,2016/01/21
26701958,Detection of feline coronavirus spike gene mutations as a tool to diagnose feline infectious peritonitis,"Felten S, Weider K, Doenges S, Gruendl S, Matiasek K, Hermanns W, Mueller E, Matiasek L, Fischer A, Weber K, Hirschberger J, Wess G, Hartmann K.",J Feline Med Surg. 2017 Apr;19(4):321-335. doi: 10.1177/1098612X15623824. Epub 2016 Jul 10.,Felten S,J Feline Med Surg,2017,2015/12/25
28159163,Epidemic and Emerging Coronaviruses (Severe Acute Respiratory Syndrome and Middle East Respiratory Syndrome),Hui DS.,Clin Chest Med. 2017 Mar;38(1):71-86. doi: 10.1016/j.ccm.2016.11.007. Epub 2016 Dec 16.,Hui DS,Clin Chest Med,2017,2017/02/05
28159160,Other Community Respiratory Viruses,Wunderink RG.,Clin Chest Med. 2017 Mar;38(1):37-43. doi: 10.1016/j.ccm.2016.11.003. Epub 2016 Dec 4.,Wunderink RG,Clin Chest Med,2017,2017/02/05
28131646,Resource impact of managing suspected Middle East respiratory syndrome patients in a UK teaching hospital,"Veater J, Wong N, Stephenson I, Kirk-Granger H, Baxter LF, Cannon R, Wilson S, Atabani S, Sahota A, Bell D, Wiselka M, Tang JW.",J Hosp Infect. 2017 Mar;95(3):280-285. doi: 10.1016/j.jhin.2016.12.010. Epub 2016 Dec 18.,Veater J,J Hosp Infect,2017,2017/01/30
28131642,Viral influenza-like illnesses: dynamic interrelationships during the 2015-2016 influenza season in hospitalized patients,Cunha BA.,J Hosp Infect. 2017 Mar;95(3):275-279. doi: 10.1016/j.jhin.2016.12.015. Epub 2016 Dec 23.,Cunha BA,J Hosp Infect,2017,2017/01/30
27999962,Human lung ex vivo infection models,"Hocke AC, Suttorp N, Hippenstiel S.",Cell Tissue Res. 2017 Mar;367(3):511-524. doi: 10.1007/s00441-016-2546-z. Epub 2016 Dec 20.,Hocke AC,Cell Tissue Res,2017,2016/12/22
27956136,"Prophylactic and therapeutic intranasal administration with an immunomodulator, Hiltonol(®) (Poly IC:LC), in a lethal SARS-CoV-infected BALB/c mouse model","Kumaki Y, Salazar AM, Wandersee MK, Barnard DL.",Antiviral Res. 2017 Mar;139:1-12. doi: 10.1016/j.antiviral.2016.12.007. Epub 2016 Dec 9.,Kumaki Y,Antiviral Res,2017,2016/12/14
27940937,Risk factors for transmission of Middle East respiratory syndrome coronavirus infection during the 2015 outbreak in South Korea,"Kim SW, Park JW, Jung HD, Yang JS, Park YS, Lee C, Kim KM, Lee KJ, Kwon D, Hur YJ, Choi BY, Ki M.",Clin Infect Dis. 2017 Mar 1;64(5):551-557. doi: 10.1093/cid/ciw768. Epub 2016 Dec 10.,Kim SW,Clin Infect Dis,2017,2016/12/13
27937060,Update on therapeutic options for Middle East Respiratory Syndrome Coronavirus (MERS-CoV),"Al-Tawfiq JA, Memish ZA.",Expert Rev Anti Infect Ther. 2017 Mar;15(3):269-275. doi: 10.1080/14787210.2017.1271712. Epub 2016 Dec 24.,Al-Tawfiq JA,Expert Rev Anti Infect Ther,2017,2016/12/13
27932285,"Candidate new rotavirus species in Schreiber's bats, Serbia","Bányai K, Kemenesi G, Budinski I, Földes F, Zana B, Marton S, Varga-Kugler R, Oldal M, Kurucz K, Jakab F.",Infect Genet Evol. 2017 Mar;48:19-26. doi: 10.1016/j.meegid.2016.12.002. Epub 2016 Dec 6.,Bányai K,Infect Genet Evol,2017,2016/12/10
27932284,Genetic diversity of coronaviruses in bats in Lao PDR and Cambodia,"Lacroix A, Duong V, Hul V, San S, Davun H, Omaliss K, Chea S, Hassanin A, Theppangna W, Silithammavong S, Khammavong K, Singhalath S, Greatorex Z, Fine AE, Goldstein T, Olson S, Joly DO, Keatts L, Dussart P, Afelt A, Frutos R, Buchy P.",Infect Genet Evol. 2017 Mar;48:10-18. doi: 10.1016/j.meegid.2016.11.029. Epub 2016 Dec 6.,Lacroix A,Infect Genet Evol,2017,2016/12/10
27803979,Molecular Detection of Circovirus and Adenovirus in Feces of Fur Seals (Arctocephalus spp.),"Chiappetta CM, Cibulski SP, Lima FES, Varela APM, Amorim DB, Tavares M, Roehe PM.",Ecohealth. 2017 Mar;14(1):69-77. doi: 10.1007/s10393-016-1195-8. Epub 2016 Nov 1.,Chiappetta CM,Ecohealth,2017,2016/11/03
27786402,Vaccines against Middle East respiratory syndrome coronavirus for humans and camels,Alharbi NK.,Rev Med Virol. 2017 Mar;27(2):e1917. doi: 10.1002/rmv.1917. Epub 2016 Oct 27.,Alharbi NK,Rev Med Virol,2017,2016/10/28
27647538,Mood disorders and non-celiac gluten sensitivity,"Casella G, Pozzi R, Cigognetti M, Bachetti F, Torti G, Cadei M, Villanacci V, Baldini V, Bassotti G.",Minerva Gastroenterol Dietol. 2017 Mar;63(1):32-37. doi: 10.23736/S1121-421X.16.02325-4. Epub 2016 Sep 20.,Casella G,Minerva Gastroenterol Dietol,2017,2016/09/21
27486688,Spike gene deletion quasispecies in serum of patient with acute MERS-CoV infection,"Lu X, Rowe LA, Frace M, Stevens J, Abedi GR, Elnile O, Banassir T, Al-Masri M, Watson JT, Assiri A, Erdman DD.",J Med Virol. 2017 Mar;89(3):542-545. doi: 10.1002/jmv.24652. Epub 2016 Aug 22.,Lu X,J Med Virol,2017,2016/08/04
27302882,"Middle East respiratory syndrome coronavirus in Al-Madinah City, Saudi Arabia: Demographic, clinical and survival data","Sherbini N, Iskandrani A, Kharaba A, Khalid G, Abduljawad M, Al-Jahdali H.",J Epidemiol Glob Health. 2017 Mar;7(1):29-36. doi: 10.1016/j.jegh.2016.05.002. Epub 2016 Jun 11.,Sherbini N,J Epidemiol Glob Health,2017,2016/06/16
27140697,Clinical spectrum of the Middle East respiratory syndrome coronavirus (MERS-CoV),"Senga M, Arabi YM, Fowler RA.",J Infect Public Health. 2017 Mar-Apr;10(2):191-194. doi: 10.1016/j.jiph.2016.04.008. Epub 2016 Apr 29.,Senga M,J Infect Public Health,2017,2016/05/04
27840394,Characterization of canine coronavirus spread among domestic dogs in Vietnam,"van Nguyen D, Terada Y, Minami S, Yonemitsu K, Nagata N, LE TD, Kuwata R, Shimoda H, Maeda K.",J Vet Med Sci. 2017 Feb 14;79(2):343-349. doi: 10.1292/jvms.16-0538. Epub 2016 Nov 14.,van Nguyen D,J Vet Med Sci,2017,2016/11/15
28035001,Structural and Molecular Evidence Suggesting Coronavirus-driven Evolution of Mouse Receptor,"Peng G, Yang Y, Pasquarella JR, Xu L, Qian Z, Holmes KV, Li F.",J Biol Chem. 2017 Feb 10;292(6):2174-2181. doi: 10.1074/jbc.M116.764266. Epub 2016 Dec 29.,Peng G,J Biol Chem,2017,2016/12/31
27735965,Detection of nidoviruses in live pythons and boas,"Marschang RE, Kolesnik E.",Tierarztl Prax Ausg K Kleintiere Heimtiere. 2017 Feb 9;45(1):22-26. doi: 10.15654/TPK-151067. Epub 2016 Oct 13.,Marschang RE,Tierarztl Prax Ausg K Kleintiere Heimtiere,2017,2016/10/14
32288871,Health and growth of Finnish beef calves and the relation to acute phase response,"Seppä-Lassila L, Eerola U, Orro T, Härtel H, Simojoki H, Autio T, Pelkonen S, Soveri T.",Livest Sci. 2017 Feb;196:7-13. doi: 10.1016/j.livsci.2016.12.007. Epub 2016 Dec 14.,Seppä-Lassila L,Livest Sci,2017,2020/04/15
28159230,Goblet cell depletion in small intestinal villous and crypt epithelium of conventional nursing and weaned pigs infected with porcine epidemic diarrhea virus,"Jung K, Saif LJ.",Res Vet Sci. 2017 Feb;110:12-15. doi: 10.1016/j.rvsc.2016.10.009. Epub 2016 Oct 24.,Jung K,Res Vet Sci,2017,2017/02/05
28153558,"Middle East respiratory syndrome coronavirus (MERS-CoV) outbreak in South Korea, 2015: epidemiology, characteristics and public health implications","Kim KH, Tandi TE, Choi JW, Moon JM, Kim MS.",J Hosp Infect. 2017 Feb;95(2):207-213. doi: 10.1016/j.jhin.2016.10.008. Epub 2016 Oct 14.,Kim KH,J Hosp Infect,2017,2017/02/04
