PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date
28262332,"Report from the World Health Organization's third Product Development for Vaccines Advisory Committee (PDVAC) meeting, Geneva, 8-10th June 2016","Giersing BK, Vekemans J, Nava S, Kaslow DC, Moorthy V; WHO Product Development for Vaccines Advisory Committee.",Vaccine. 2019 Nov 28;37(50):7315-7327. doi: 10.1016/j.vaccine.2016.10.090. Epub 2017 Mar 3.,Giersing BK,Vaccine,2019,2017/03/07
29113645,Discrepancies between feline coronavirus antibody and nucleic acid detection in effusions of cats with suspected feline infectious peritonitis,"Lorusso E, Mari V, Losurdo M, Lanave G, Trotta A, Dowgier G, Colaianni ML, Zatelli A, Elia G, Buonavoglia D, Decaro N.",Res Vet Sci. 2019 Aug;125:421-424. doi: 10.1016/j.rvsc.2017.10.004. Epub 2017 Oct 31.,Lorusso E,Res Vet Sci,2019,2017/11/09
30307378,Evaluation of the Seegene Allplex™ Respiratory Panel for diagnosis of acute respiratory tract infections,"Vandendriessche S, Padalko E, Wollants E, Verfaillie C, Verhasselt B, Coorevits L.",Acta Clin Belg. 2019 Dec;74(6):379-385. doi: 10.1080/17843286.2018.1531605. Epub 2018 Oct 11.,Vandendriessche S,Acta Clin Belg,2019,2018/10/12
29907366,Use of ribavirin in viruses other than hepatitis C. A review of the evidence,"Ramírez-Olivencia G, Estébanez M, Membrillo FJ, Ybarra MDC.",Enferm Infecc Microbiol Clin (Engl Ed). 2019 Nov;37(9):602-608. doi: 10.1016/j.eimc.2018.05.008. Epub 2018 Jun 12.,Ramírez-Olivencia G,Enferm Infecc Microbiol Clin (Engl Ed),2019,2018/06/17
30407137,Diagnosis of non-effusive feline infectious peritonitis by reverse transcriptase quantitative PCR from mesenteric lymph node fine-needle aspirates,"Dunbar D, Kwok W, Graham E, Armitage A, Irvine R, Johnston P, McDonald M, Montgomery D, Nicolson L, Robertson E, Weir W, Addie DD.",J Feline Med Surg. 2019 Oct;21(10):910-921. doi: 10.1177/1098612X18809165. Epub 2018 Nov 8.,Dunbar D,J Feline Med Surg,2019,2018/11/09
30419356,"Surveillance and public health response for travelers returning from MERS-CoV affected countries to Gyeonggi Province, Korea, 2016-2017","Ryu S, Kim JJ, Cowling BJ, Kim C.",Travel Med Infect Dis. 2019 Sep-Oct;31:101350. doi: 10.1016/j.tmaid.2018.11.006. Epub 2018 Nov 9.,Ryu S,Travel Med Infect Dis,2019,2018/11/13
29558170,"When Information from Public Health Officials is Untrustworthy: The Use of Online News, Interpersonal Networks, and Social Media during the MERS Outbreak in South Korea","Jang K, Baek YM.",Health Commun. 2019 Aug;34(9):991-998. doi: 10.1080/10410236.2018.1449552. Epub 2018 Mar 20.,Jang K,Health Commun,2019,2018/03/21
30385869,"Incidence, significance, and persistence of human coronavirus infection in hematopoietic stem cell transplant recipients","Eichenberger EM, Soave R, Zappetti D, Small CB, Shore T, van Besien K, Douglass C, Westblade LF, Satlin MJ.",Bone Marrow Transplant. 2019 Jul;54(7):1058-1066. doi: 10.1038/s41409-018-0386-z. Epub 2018 Nov 1.,Eichenberger EM,Bone Marrow Transplant,2019,2018/11/03
32289094,Prevalence of antibodies against transmissible gastroenteritis virus (TGEV) in Hungary,"Valkó A, Bálint Á, Bozsa Á, Cságola A.",Vet Anim Sci. 2019 Jun;7:100042. doi: 10.1016/j.vas.2018.11.003. Epub 2018 Nov 2.,Valkó A,Vet Anim Sci,2019,2020/04/15
30334501,Examination of Hospital Workers' Emotional Responses to an Infectious Disease Outbreak: Lessons From the 2015 MERS Co-V Outbreak in South Korea,"Son H, Lee WJ, Kim HS, Lee KS, You M.",Disaster Med Public Health Prep. 2019 Jun;13(3):504-510. doi: 10.1017/dmp.2018.95. Epub 2018 Oct 18.,Son H,Disaster Med Public Health Prep,2019,2018/10/19
29907538,Middle East Respiratory Syndrome Coronavirus (MERS-CoV) infection during pregnancy: Report of two cases & review of the literature,"Alfaraj SH, Al-Tawfiq JA, Memish ZA.",J Microbiol Immunol Infect. 2019 Jun;52(3):501-503. doi: 10.1016/j.jmii.2018.04.005. Epub 2018 Jun 2.,Alfaraj SH,J Microbiol Immunol Infect,2019,2018/06/17
