PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32211920","Coronavirus disease 2019 (COVID-19): update for anesthesiologists and intensivists March 2020","Thomas-Rüddel D, Winning J, Dickmann P, Ouart D, Kortgen A, Janssens U, Bauer M.","Anaesthesist. 2021 Dec;70(Suppl 1):1-10. doi: 10.1007/s00101-020-00760-3.","Thomas-Rüddel D","Anaesthesist","2021","2020/03/27","PMC7095212","","10.1007/s00101-020-00760-3"
"32340583","COVID-19 pandemic: overview of protective-ventilation strategy in ARDS patients","Higny J, Feye F, Forêt F.","Acta Clin Belg. 2021 Dec;76(6):509-511. doi: 10.1080/17843286.2020.1761162. Epub 2020 Apr 27.","Higny J","Acta Clin Belg","2021","2020/04/29","","","10.1080/17843286.2020.1761162"
"32373478","What makes a foodborne virus: comparing coronaviruses with human noroviruses","Li D, Zhao MY, Tan THM.","Curr Opin Food Sci. 2021 Dec;42:1-7. doi: 10.1016/j.cofs.2020.04.011. Epub 2020 May 4.","Li D","Curr Opin Food Sci","2021","2020/05/07","PMC7198165","","10.1016/j.cofs.2020.04.011"
"32389163","The Role of Dental Professionals in Pandemic Events and Disaster Responses","Li G, Chang B, Li H, Wang R, Li G.","Disaster Med Public Health Prep. 2021 Dec;15(6):785-789. doi: 10.1017/dmp.2020.140. Epub 2020 May 11.","Li G","Disaster Med Public Health Prep","2021","2020/05/12","PMC7373828","","10.1017/dmp.2020.140"
"32404667","Comment on ""Managing COVID-19 in Surgical Systems"": An Opportunity for Global Surgery to Advance Global Health","Rose J, Long C, Meara JG.","Ann Surg. 2021 Dec 1;274(6):e766-e767. doi: 10.1097/SLA.0000000000003966.","Rose J","Ann Surg","2021","2020/05/15","","","10.1097/SLA.0000000000003966"
"32405288","Acute upper limb ischemia in a patient with COVID-19","Kaur P, Qaqa F, Ramahi A, Shamoon Y, Singhal M, Shamoon F, Maroules M, Singh B.","Hematol Oncol Stem Cell Ther. 2021 Dec;14(4):348-350. doi: 10.1016/j.hemonc.2020.05.001. Epub 2020 May 13.","Kaur P","Hematol Oncol Stem Cell Ther","2021","2020/05/15","PMC7219365","","10.1016/j.hemonc.2020.05.001"
"32413236","COVID-19: Is it time that Social Care for the elderly was part of the National Health Service in the United Kingdom?","Elliott L Professor.","J Psychiatr Ment Health Nurs. 2021 Dec;28(6):943-944. doi: 10.1111/jpm.12660. Epub 2020 Jun 3.","Elliott L Professor","J Psychiatr Ment Health Nurs","2021","2020/05/16","","","10.1111/jpm.12660"
"32414233","Coronavirus disease 2019 outbreak: is liver disease a prognostic tool?","Testino G, Fagoonee S.","Panminerva Med. 2021 Dec;63(4):553-554. doi: 10.23736/S0031-0808.20.03947-6. Epub 2020 May 14.","Testino G","Panminerva Med","2021","2020/05/17","","","10.23736/S0031-0808.20.03947-6"
"32433282","Comment on ""Minimally Invasive Surgery and the Novel Coronavirus Outbreak: Lessons Learned in China and Italy""","Muratore A, Delrio P.","Ann Surg. 2021 Dec 1;274(6):e765-e766. doi: 10.1097/SLA.0000000000003971.","Muratore A","Ann Surg","2021","2020/05/21","PMC7268819","","10.1097/SLA.0000000000003971"
"32433299","Comment on ""COVID-19 Preparedness Within the Surgical, Obstetric, and Anesthetic Ecosystem in Sub Saharan Africa""","Starr N, Weiser TG.","Ann Surg. 2021 Dec 1;274(6):e779-e780. doi: 10.1097/SLA.0000000000004096.","Starr N","Ann Surg","2021","2020/05/21","PMC7268881","","10.1097/SLA.0000000000004096"
