PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32313806","2019 Novel coronavirus (COVID-19) overview","Mohammadi M, Meskini M, do Nascimento Pinto AL.","Z Gesundh Wiss. 2022;30(1):167-175. doi: 10.1007/s10389-020-01258-3. Epub 2020 Apr 19.","Mohammadi M","Z Gesundh Wiss","2022","2020/04/22","PMC7167217","","10.1007/s10389-020-01258-3"
"32318325","The clinical data from 19 critically ill patients with coronavirus disease 2019: a single-centered, retrospective, observational study","Zhang J, Liu P, Wang M, Wang J, Chen J, Yuan W, Li M, Xie Z, Dong W, Li H, Zhao Y, Wan L, Chu T, Wang L, Zhang H, Tao T, Ma J.","Z Gesundh Wiss. 2022;30(2):361-364. doi: 10.1007/s10389-020-01291-2. Epub 2020 Apr 21.","Zhang J","Z Gesundh Wiss","2022","2020/04/23","PMC7171052","","10.1007/s10389-020-01291-2"
"32337151","On the global trends and spread of the COVID-19 outbreak: preliminary assessment of the potential relation between location-specific temperature and UV index","Gunthe SS, Swain B, Patra SS, Amte A.","Z Gesundh Wiss. 2022;30(1):219-228. doi: 10.1007/s10389-020-01279-y. Epub 2020 Apr 24.","Gunthe SS","Z Gesundh Wiss","2022","2020/04/28","PMC7180684","","10.1007/s10389-020-01279-y"
"32351873","Will the antimalarial drug take over to combat COVID-19?","T K S, G S.","Z Gesundh Wiss. 2022;30(1):241-244. doi: 10.1007/s10389-020-01293-0. Epub 2020 Apr 29.","T K S","Z Gesundh Wiss","2022","2020/05/01","PMC7189021","","10.1007/s10389-020-01293-0"
"32395096","Psychometric Validation of the Bangla Fear of COVID-19 Scale: Confirmatory Factor Analysis and Rasch Analysis","Sakib N, Bhuiyan AKMI, Hossain S, Al Mamun F, Hosen I, Abdullah AH, Sarker MA, Mohiuddin MS, Rayhan I, Hossain M, Sikder MT, Gozal D, Muhit M, Islam SMS, Griffiths MD, Pakpour AH, Mamun MA.","Int J Ment Health Addict. 2022;20(5):2623-2634. doi: 10.1007/s11469-020-00289-x. Epub 2020 May 11.","Sakib N","Int J Ment Health Addict","2022","2020/05/13","PMC7213549","","10.1007/s11469-020-00289-x"
"32395417","COVID-19: a look into the modern age pandemic","Qamar MA.","Z Gesundh Wiss. 2022;30(1):249-252. doi: 10.1007/s10389-020-01294-z. Epub 2020 May 11.","Qamar MA","Z Gesundh Wiss","2022","2020/05/13","PMC7213550","","10.1007/s10389-020-01294-z"
"32404217","COVID-19 psychological impact in 3109 healthcare workers in Spain: The PSIMCOV group","Romero CS, Delgado C, Catalá J, Ferrer C, Errando C, Iftimi A, Benito A, de Andrés J, Otero M; PSIMCOV group*.","Psychol Med. 2022 Jan;52(1):188-194. doi: 10.1017/S0033291720001671. Epub 2020 May 14.","Romero CS","Psychol Med","2022","2020/05/15","PMC7477466","","10.1017/S0033291720001671"
"32419558","Effects of the COVID-19 pandemic on anxiety and depressive symptoms in pregnant women: a preliminary study","Durankuş F, Aksu E.","J Matern Fetal Neonatal Med. 2022 Jan;35(2):205-211. doi: 10.1080/14767058.2020.1763946. Epub 2020 May 18.","Durankuş F","J Matern Fetal Neonatal Med","2022","2020/05/19","","","10.1080/14767058.2020.1763946"
"32427165","Intolerance of Uncertainty and Mental Wellbeing: Serial Mediation by Rumination and Fear of COVID-19","Satici B, Saricali M, Satici SA, Griffiths MD.","Int J Ment Health Addict. 2022;20(5):2731-2742. doi: 10.1007/s11469-020-00305-0. Epub 2020 May 15.","Satici B","Int J Ment Health Addict","2022","2020/05/20","PMC7228430","","10.1007/s11469-020-00305-0"
"32435872","Lab-on-a-Chip Devices for Point-of-Care Medical Diagnostics","Arshavsky-Graham S, Segal E.","Adv Biochem Eng Biotechnol. 2022;179:247-265. doi: 10.1007/10_2020_127.","Arshavsky-Graham S","Adv Biochem Eng Biotechnol","2022","2020/05/22","","","10.1007/10_2020_127"
