PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36714648","How to increase COVID-19 vaccine uptake among children? determinants associated with vaccine compliance","Hoshen M, Shkalim Zemer V, Ashkenazi S, Grossman Z, Gerstein M, Yosef N, Cohen M, Cohen HA.","Front Pediatr. 2023 Jan 13;10:1038308. doi: 10.3389/fped.2022.1038308. eCollection 2022.","Hoshen M","Front Pediatr","2023","2023/01/30","PMC9880470","","10.3389/fped.2022.1038308"
"36713413","Robust humoral and cellular recall responses to AZD1222 attenuate breakthrough SARS-CoV-2 infection compared to unvaccinated","Maaske J, Sproule S, Falsey AR, Sobieszczyk ME, Luetkemeyer AF, Paulsen GC, Riddler SA, Robb ML, Rolle CP, Sha BE, Tong T, Ahani B, Aksyuk AA, Bansal H, Egan T, Jepson B, Padilla M, Patel N, Shoemaker K, Stanley AM, Swanson PA, Wilkins D, Villafana T, Green JA, Kelly EJ.","Front Immunol. 2023 Jan 13;13:1062067. doi: 10.3389/fimmu.2022.1062067. eCollection 2022.","Maaske J","Front Immunol","2023","2023/01/30","PMC9881590","","10.3389/fimmu.2022.1062067"
"36713399","Distinct SARS-CoV-2 RNA fragments activate Toll-like receptors 7 and 8 and induce cytokine release from human macrophages and microglia","Wallach T, Raden M, Hinkelmann L, Brehm M, Rabsch D, Weidling H, Krüger C, Kettenmann H, Backofen R, Lehnardt S.","Front Immunol. 2023 Jan 13;13:1066456. doi: 10.3389/fimmu.2022.1066456. eCollection 2022.","Wallach T","Front Immunol","2023","2023/01/30","PMC9880480","","10.3389/fimmu.2022.1066456"
"36713395","Humoral and T-cell response 12 months after the first BNT162b2 vaccination in solid organ transplant recipients and controls: Kinetics, associated factors, and role of SARS-CoV-2 infection","Rezahosseini O, Hamm SR, Heftdal LD, Pérez-Alós L, Møller DL, Perch M, Madsen JR, Hald A, Hansen CB, Armenteros JJA, Pries-Heje MM, Hasselbalch RB, Fogh K, Frikke-Schmidt R, Hilsted LM, Sørensen E, Ostrowski SR, Harboe ZB, Iversen K, Bundgaard H, Sørensen SS, Rasmussen A, Garred P, Nielsen SD.","Front Immunol. 2023 Jan 13;13:1075423. doi: 10.3389/fimmu.2022.1075423. eCollection 2022.","Rezahosseini O","Front Immunol","2023","2023/01/30","PMC9880190","","10.3389/fimmu.2022.1075423"
"36713390","Persistent humoral and CD4(+) T(H) cell immunity after mild SARS-COV-2 infection-The CoNAN long-term study","Schnizer C, Andreas N, Vivas W, Kamradt T, Baier M, Kiehntopf M, Glöckner S, Scherag A, Löffler B, Kolanos S, Guerra J, Pletz MW, Weis S.","Front Immunol. 2023 Jan 13;13:1095129. doi: 10.3389/fimmu.2022.1095129. eCollection 2022.","Schnizer C","Front Immunol","2023","2023/01/30","PMC9880277","","10.3389/fimmu.2022.1095129"
"36713387","Protein post-translational modification in SARS-CoV-2 and host interaction","Cheng N, Liu M, Li W, Sun B, Liu D, Wang G, Shi J, Li L.","Front Immunol. 2023 Jan 13;13:1068449. doi: 10.3389/fimmu.2022.1068449. eCollection 2022.","Cheng N","Front Immunol","2023","2023/01/30","PMC9880545","","10.3389/fimmu.2022.1068449"
"36713204","The role of oxidative stress in the pathogenesis of infections with coronaviruses","Gain C, Song S, Angtuaco T, Satta S, Kelesidis T.","Front Microbiol. 2023 Jan 13;13:1111930. doi: 10.3389/fmicb.2022.1111930. eCollection 2022.","Gain C","Front Microbiol","2023","2023/01/30","PMC9880066","","10.3389/fmicb.2022.1111930"
"36713203","Longitudinal observation of viral load in patients infected with Omicron variant and its relationship with clinical symptoms","Zhou K, Hu B, Zhao X, Chi H, Pan J, Zheng Y, Bi X, Chen M, Xie J, Xu J, Tung TH, Shen B, Zhu H.","Front Microbiol. 2023 Jan 13;13:1037733. doi: 10.3389/fmicb.2022.1037733. eCollection 2022.","Zhou K","Front Microbiol","2023","2023/01/30","PMC9880150","","10.3389/fmicb.2022.1037733"
"36712674","Quercetin as a possible complementary agent for early-stage COVID-19: Concluding results of a randomized clinical trial","Di Pierro F, Khan A, Iqtadar S, Mumtaz SU, Chaudhry MNA, Bertuccioli A, Derosa G, Maffioli P, Togni S, Riva A, Allegrini P, Recchia M, Zerbinati N.","Front Pharmacol. 2023 Jan 13;13:1096853. doi: 10.3389/fphar.2022.1096853. eCollection 2022.","Di Pierro F","Front Pharmacol","2023","2023/01/30","PMC9880293","","10.3389/fphar.2022.1096853"
"36711417","Psychological distress experienced by nurses amid the fifth wave of the COVID-19 pandemic in Hong Kong: A qualitative study","Cheung AT, Ho LLK, Li WHC, Chung JOK, Smith GD.","Front Public Health. 2023 Jan 13;10:1023302. doi: 10.3389/fpubh.2022.1023302. eCollection 2022.","Cheung AT","Front Public Health","2023","2023/01/30","PMC9880411","","10.3389/fpubh.2022.1023302"
