PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32383418","Implications of social distancing in Brazil in the COVID-19 pandemic","Dantas RCC, de Campos PA, Rossi I, Ribas RM.","Infect Control Hosp Epidemiol. 2022 Jul;43(7):953-954. doi: 10.1017/ice.2020.210. Epub 2020 May 8.","Dantas RCC","Infect Control Hosp Epidemiol","2022","2020/05/09","PMC7237386","","10.1017/ice.2020.210"
"32627622","Thrombotic microangiopathy, DIC-syndrome and COVID-19: link with pregnancy prothrombotic state","Makatsariya AD, Slukhanchuk EV, Bitsadze VO, Khizroeva JKH, Tretyakova MV, Tsibizova VI, Elalamy I, Gris JC, Grandone E, Makatsariya NA, Mashkova T.","J Matern Fetal Neonatal Med. 2022 Jul;35(13):2536-2544. doi: 10.1080/14767058.2020.1786811. Epub 2020 Jul 6.","Makatsariya AD","J Matern Fetal Neonatal Med","2022","2020/07/07","","","10.1080/14767058.2020.1786811"
"32668830","Perspectives of medical students on local medical education during COVID-19","Tan KI, Foo J, G Ang BW, Chua JW, Teo DB.","Singapore Med J. 2022 Jul;63(7):402-404. doi: 10.11622/smedj.2020105. Epub 2021 Jul 16.","Tan KI","Singapore Med J","2022","2020/07/17","PMC9578127","","10.11622/smedj.2020105"
"32686556","Telehealth during the coronavirus disease 2019 pandemic: Rapid expansion of telehealth outpatient use during a pandemic is possible if the programme is previously established","Schulz T, Long K, Kanhutu K, Bayrak I, Johnson D, Fazio T.","J Telemed Telecare. 2022 Jul;28(6):445-451. doi: 10.1177/1357633X20942045. Epub 2020 Jul 19.","Schulz T","J Telemed Telecare","2022","2020/07/21","PMC9124640","","10.1177/1357633X20942045"
"32689846","SARS-CoV-2 in pregnancy: characteristics and outcomes of hospitalized and non-hospitalized women due to COVID-19","Barbero P, Mugüerza L, Herraiz I, García Burguillo A, San Juan R, Forcén L, Mejía I, Batllori E, Montañez MD, Vallejo P, Villar O, García Alcazar D, Galindo A.","J Matern Fetal Neonatal Med. 2022 Jul;35(14):2648-2654. doi: 10.1080/14767058.2020.1793320. Epub 2020 Jul 20.","Barbero P","J Matern Fetal Neonatal Med","2022","2020/07/22","","","10.1080/14767058.2020.1793320"
"32693656","Vertical transmission of SARS CoV-2: a systematic review","Deniz M, Tezer H.","J Matern Fetal Neonatal Med. 2022 Jul;35(14):2655-2662. doi: 10.1080/14767058.2020.1793322. Epub 2020 Jul 21.","Deniz M","J Matern Fetal Neonatal Med","2022","2020/07/23","","","10.1080/14767058.2020.1793322"
"32701399","Protecting higher education institutions from COVID-19: insights from an Italian experience","Quattrone F, Borghini A, Emdin M, Nuti S.","J Am Coll Health. 2022 Jul;70(5):1354-1355. doi: 10.1080/07448481.2020.1791885. Epub 2020 Jul 23.","Quattrone F","J Am Coll Health","2022","2020/07/24","","","10.1080/07448481.2020.1791885"
"32778005","Better one or two? A systematic review of portable automated refractors","Samanta A, Shetty A, Nelson PC.","J Telemed Telecare. 2022 Jul;28(6):404-411. doi: 10.1177/1357633X20940140. Epub 2020 Aug 10.","Samanta A","J Telemed Telecare","2022","2020/08/12","","","10.1177/1357633X20940140"
"32783494","Spectrum of neonatal COVID-19 in Iran: 19 infants with SARS-CoV-2 perinatal infections with varying test results, clinical findings and outcomes","Schwartz DA, Mohagheghi P, Beigi B, Zafaranloo N, Moshfegh F, Yazdani A.","J Matern Fetal Neonatal Med. 2022 Jul;35(14):2731-2740. doi: 10.1080/14767058.2020.1797672. Epub 2020 Aug 12.","Schwartz DA","J Matern Fetal Neonatal Med","2022","2020/08/14","","","10.1080/14767058.2020.1797672"
"32839055","COVID-19 After Effects: Concerns for Singers","Helding L, Carroll TL, Nix J, Johns MM, LeBorgne WD, Meyer D.","J Voice. 2022 Jul;36(4):586.e7-586.e14. doi: 10.1016/j.jvoice.2020.07.032. Epub 2020 Aug 6.","Helding L","J Voice","2022","2020/08/26","PMC7409791","","10.1016/j.jvoice.2020.07.032"
"32967603","Transplant Immunosuppression Management and COVID-19","Giannis D, Ziogas IA, Esagian SM, Matenoglou E, Moris D.","Exp Clin Transplant. 2022 Jul;20(7):706-707. doi: 10.6002/ect.2020.0179. Epub 2020 Sep 17.","Giannis D","Exp Clin Transplant","2022","2020/09/24","","","10.6002/ect.2020.0179"
"32972473","Public awareness, emotional reactions and human mobility in response to the COVID-19 outbreak in China - a population-based ecological study","Li Y, Zeng Y, Liu G, Lu D, Yang H, Ying Z, Hu Y, Qiu J, Zhang C, Fall K, Fang F, Valdimarsdóttir UA, Zhang W, Song H.","Psychol Med. 2022 Jul;52(9):1793-1800. doi: 10.1017/S003329172000375X. Epub 2020 Sep 25.","Li Y","Psychol Med","2022","2020/09/25","PMC7542325","","10.1017/S003329172000375X"
"33045362","CRISPR-based assays for rapid detection of SARS-CoV-2","Javalkote VS, Kancharla N, Bhadra B, Shukla M, Soni B, Sapre A, Goodin M, Bandyopadhyay A, Dasgupta S.","Methods. 2022 Jul;203:594-603. doi: 10.1016/j.ymeth.2020.10.003. Epub 2020 Oct 10.","Javalkote VS","Methods","2022","2020/10/12","PMC7546951","","10.1016/j.ymeth.2020.10.003"
"33047144","Responding to the COVID-19 pandemic at a primary care centre in Singapore","Chen R, Chaterji S, Moosa AS.","Singapore Med J. 2022 Jul;63(7):405-408. doi: 10.11622/smedj.2020138. Epub 2020 Sep 21.","Chen R","Singapore Med J","2022","2020/10/13","PMC9578126","","10.11622/smedj.2020138"
