PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"10669259","Respiratory viral infections in the elderly","Treanor J, Falsey A.","Antiviral Res. 1999 Dec 15;44(2):79-102. doi: 10.1016/s0166-3542(99)00062-5.","Treanor J","Antiviral Res","1999","2000/02/11","PMC7126803","","10.1016/s0166-3542(99)00062-5"
"10581391","Sequence analysis of the turkey coronavirus nucleocapsid protein gene and 3' untranslated region identifies the virus as a close relative of infectious bronchitis virus","Breslin JJ, Smith LG, Fuller FJ, Guy JS.","Virus Res. 1999 Dec 15;65(2):187-93. doi: 10.1016/s0168-1702(99)00117-3.","Breslin JJ","Virus Res","1999","1999/12/03","PMC7127622","","10.1016/s0168-1702(99)00117-3"
"10603321","The nucleocapsid protein of coronavirus mouse hepatitis virus interacts with the cellular heterogeneous nuclear ribonucleoprotein A1 in vitro and in vivo","Wang Y, Zhang X.","Virology. 1999 Dec 5;265(1):96-109. doi: 10.1006/viro.1999.0025.","Wang Y","Virology","1999","1999/12/22","PMC7130934","","10.1006/viro.1999.0025"
"10738369","Experiences of microbial contamination of animal colonies maintained in the National Institute of Infectious Diseases, Japan (NIID)","Takimoto K, Yamada YK, Ami Y, Suzaki Y, Yabe M, Asano T.","Jpn J Infect Dis. 1999 Dec;52(6):255-6.","Takimoto K","Jpn J Infect Dis","1999","2000/03/30","","",""
"10676147","Pathological and microbiological studies on pneumonic lungs from Danish calves","Tegtmeier C, Uttenthal A, Friis NF, Jensen NE, Jensen HE.","Zentralbl Veterinarmed B. 1999 Dec;46(10):693-700. doi: 10.1046/j.1439-0450.1999.00301.x.","Tegtmeier C","Zentralbl Veterinarmed B","1999","2000/02/17","PMC7183811","","10.1046/j.1439-0450.1999.00301.x"
"10614857","Lowered yields of virus-induced interferon production in leukocyte cultures and risk of recurrent respiratory infections in children","Pitkäranta A, Nokso-Koivisto J, Jäntti V, Takala A, Kilpi T, Hovi T.","J Clin Virol. 1999 Dec;14(3):199-205. doi: 10.1016/s1386-6532(99)00056-6.","Pitkäranta A","J Clin Virol","1999","1999/12/30","PMC7129541","","10.1016/s1386-6532(99)00056-6"
"10604745","Nidovirus infections: experimental model systems of human neurologic diseases","Lavi E, Schwartz T, Jin YP, Fu L.","J Neuropathol Exp Neurol. 1999 Dec;58(12):1197-206. doi: 10.1097/00005072-199912000-00001.","Lavi E","J Neuropathol Exp Neurol","1999","1999/12/22","PMC7107479","","10.1097/00005072-199912000-00001"
"10570300","Selection of CTL escape mutants in mice infected with a neurotropic coronavirus: quantitative estimate of TCR diversity in the infected central nervous system","Pewe L, Heard SB, Bergmann C, Dailey MO, Perlman S.","J Immunol. 1999 Dec 1;163(11):6106-13.","Pewe L","J Immunol","1999","1999/11/26","","",""
"10562501","Mouse hepatitis virus strain JHM infects a human hepatocellular carcinoma cell line","Koetters PJ, Hassanieh L, Stohlman SA, Gallagher T, Lai MM.","Virology. 1999 Nov 25;264(2):398-409. doi: 10.1006/viro.1999.9984.","Koetters PJ","Virology","1999","1999/11/24","PMC7131271","","10.1006/viro.1999.9984"
"10544136","Formation of a ribonucleoprotein complex of mouse hepatitis virus involving heterogeneous nuclear ribonucleoprotein A1 and transcription-regulatory elements of viral RNA","Zhang X, Li HP, Xue W, Lai MM.","Virology. 1999 Nov 10;264(1):115-24. doi: 10.1006/viro.1999.9970.","Zhang X","Virology","1999","1999/11/02","","","10.1006/viro.1999.9970"
"12968743","Fatal coronavirus infection in puppies following canine parvovirus 2b infection","Pratelli A, Tempesta M, Roperto FP, Sagazio P, Carmichael L, Buonavoglia C.","J Vet Diagn Invest. 1999 Nov;11(6):550-3. doi: 10.1177/104063879901100615.","Pratelli A","J Vet Diagn Invest","1999","2003/09/13","","","10.1177/104063879901100615"
"12968738","Application of reverse transcription polymerase chain reaction to detect porcine epidemic diarrhea virus in Vero cell culture","Kim O, Chae C.","J Vet Diagn Invest. 1999 Nov;11(6):537-8. doi: 10.1177/104063879901100610.","Kim O","J Vet Diagn Invest","1999","2003/09/13","","","10.1177/104063879901100610"
"10635839","[Coronavirus]","Ieki R.","Nihon Rinsho. 1999 Nov;57 Suppl:298-300.","Ieki R","Nihon Rinsho","1999","2000/01/15","","",""
"10516020","Replication-defective bovine adenovirus type 3 as an expression vector","Reddy PS, Idamakanti N, Chen Y, Whale T, Babiuk LA, Mehtali M, Tikoo SK.","J Virol. 1999 Nov;73(11):9137-44. doi: 10.1128/JVI.73.11.9137-9144.1999.","Reddy PS","J Virol","1999","1999/10/09","PMC112946","","10.1128/JVI.73.11.9137-9144.1999"
"10516017","Polypyrimidine tract-binding protein binds to the complementary strand of the mouse hepatitis virus 3' untranslated region, thereby altering RNA conformation","Huang P, Lai MM.","J Virol. 1999 Nov;73(11):9110-6. doi: 10.1128/JVI.73.11.9110-9116.1999.","Huang P","J Virol","1999","1999/10/09","PMC112943","","10.1128/JVI.73.11.9110-9116.1999"
"10544119","Further requirements for cleavage by the murine coronavirus 3C-like proteinase: identification of a cleavage site within ORF1b","Piñón JD, Teng H, Weiss SR.","Virology. 1999 Oct 25;263(2):471-84. doi: 10.1006/viro.1999.9954.","Piñón JD","Virology","1999","1999/11/02","PMC7131300","","10.1006/viro.1999.9954"
"10544100","Release of coronavirus E protein in membrane vesicles from virus-infected cells and E protein-expressing cells","Maeda J, Maeda A, Makino S.","Virology. 1999 Oct 25;263(2):265-72. doi: 10.1006/viro.1999.9955.","Maeda J","Virology","1999","1999/11/02","PMC7131035","","10.1006/viro.1999.9955"
"10518575","Arterivirus discontinuous mRNA transcription is guided by base pairing between sense and antisense transcription-regulating sequences","van Marle G, Dobbe JC, Gultyaev AP, Luytjes W, Spaan WJ, Snijder EJ.","Proc Natl Acad Sci U S A. 1999 Oct 12;96(21):12056-61. doi: 10.1073/pnas.96.21.12056.","van Marle G","Proc Natl Acad Sci U S A","1999","1999/10/16","PMC18411","","10.1073/pnas.96.21.12056"
"11737325","Enteric viral infections as a cause of diarrhoea in the acquired immunodeficiency syndrome","Thomas PD, Pollok RC, Gazzard BG.","HIV Med. 1999 Oct;1(1):19-24. doi: 10.1046/j.1468-1293.1999.00004.x.","Thomas PD","HIV Med","1999","2001/12/12","PMC7165535","","10.1046/j.1468-1293.1999.00004.x"
"10791935","Isolation of bovine respiratory coronaviruses from feedlot cattle and comparison of their biological and antigenic properties with bovine enteric coronaviruses","Hasoksuz M, Lathrop SL, Gadfield KL, Saif LJ.","Am J Vet Res. 1999 Oct;60(10):1227-33.","Hasoksuz M","Am J Vet Res","1999","2000/05/03","","",""
"10574526","Viral infections in free-living populations of the European wildcat","Leutenegger CM, Hofmann-Lehmann R, Riols C, Liberek M, Worel G, Lups P, Fehr D, Hartmann M, Weilenmann P, Lutz H.","J Wildl Dis. 1999 Oct;35(4):678-86. doi: 10.7589/0090-3558-35.4.678.","Leutenegger CM","J Wildl Dis","1999","1999/11/26","","","10.7589/0090-3558-35.4.678"
"10551452","Comparison of the pathogenicity in rats of rat coronaviruses of different neutralization groups","Compton SR, Smith AL, Gaertner DJ.","Lab Anim Sci. 1999 Oct;49(5):514-8.","Compton SR","Lab Anim Sci","1999","1999/11/07","","",""
"10551451","Reverse transcriptase polymerase chain reaction-based diagnosis and molecular characterization of a new rat coronavirus strain","Compton SR, Vivas-Gonzalez BE, Macy JD.","Lab Anim Sci. 1999 Oct;49(5):506-13.","Compton SR","Lab Anim Sci","1999","1999/11/07","","",""
"10524544","Community study using a polymerase chain reaction panel to determine the prevalence of common respiratory viruses in asthmatic and nonasthmatic children","West JA, Dakhama A, Khan MA, Vedal S, Hegele RG.","J Asthma. 1999 Oct;36(7):605-12. doi: 10.3109/02770909909087298.","West JA","J Asthma","1999","1999/10/19","","","10.3109/02770909909087298"
"10511857","Fecal shedding of feline coronavirus in adult cats and kittens in an Abyssinian cattery","Harpold LM, Legendre AM, Kennedy MA, Plummer PJ, Millsaps K, Rohrbach B.","J Am Vet Med Assoc. 1999 Oct 1;215(7):948-51.","Harpold LM","J Am Vet Med Assoc","1999","1999/10/08","","",""
"10482631","Macrophage infiltration, but not apoptosis, is correlated with immune-mediated demyelination following murine infection with a neurotropic coronavirus","Wu GF, Perlman S.","J Virol. 1999 Oct;73(10):8771-80. doi: 10.1128/JVI.73.10.8771-8780.1999.","Wu GF","J Virol","1999","1999/09/11","PMC112898","","10.1128/JVI.73.10.8771-8780.1999"
"10482585","A phylogenetically conserved hairpin-type 3' untranslated region pseudoknot functions in coronavirus RNA replication","Williams GD, Chang RY, Brian DA.","J Virol. 1999 Oct;73(10):8349-55. doi: 10.1128/JVI.73.10.8349-8355.1999.","Williams GD","J Virol","1999","1999/09/11","PMC112852","","10.1128/JVI.73.10.8349-8355.1999"
"10482565","Amino acid substitutions within the leucine zipper domain of the murine coronavirus spike protein cause defects in oligomerization and the ability to induce cell-to-cell fusion","Luo Z, Matthews AM, Weiss SR.","J Virol. 1999 Oct;73(10):8152-9. doi: 10.1128/JVI.73.10.8152-8159.1999.","Luo Z","J Virol","1999","1999/09/11","PMC112832","","10.1128/JVI.73.10.8152-8159.1999"
"10482548","Translation from the 5' untranslated region (UTR) of mRNA 1 is repressed, but that from the 5' UTR of mRNA 7 is stimulated in coronavirus-infected cells","Senanayake SD, Brian DA.","J Virol. 1999 Oct;73(10):8003-9. doi: 10.1128/JVI.73.10.8003-8009.1999.","Senanayake SD","J Virol","1999","1999/09/11","PMC112815","","10.1128/JVI.73.10.8003-8009.1999"
"10482542","Structural maturation of the transmissible gastroenteritis coronavirus","Salanueva IJ, Carrascosa JL, Risco C.","J Virol. 1999 Oct;73(10):7952-64. doi: 10.1128/JVI.73.10.7952-7964.1999.","Salanueva IJ","J Virol","1999","1999/09/11","PMC112809","","10.1128/JVI.73.10.7952-7964.1999"
"10507362","Active immunity and T-cell populations in pigs intraperitoneally inoculated with baculovirus-expressed transmissible gastroenteritis virus structural proteins","Sestak K, Meister RK, Hayes JR, Kim L, Lewis PA, Myers G, Saif LJ.","Vet Immunol Immunopathol. 1999 Sep 20;70(3-4):203-21. doi: 10.1016/s0165-2427(99)00074-4.","Sestak K","Vet Immunol Immunopathol","1999","1999/10/03","PMC7119614","","10.1016/s0165-2427(99)00074-4"
"10477608","Inverted immunodominance and impaired cytolytic function of CD8+ T cells during viral persistence in the central nervous system","Bergmann CC, Altman JD, Hinton D, Stohlman SA.","J Immunol. 1999 Sep 15;163(6):3379-87.","Bergmann CC","J Immunol","1999","1999/09/08","","",""
"10473557","A 12-amino acid stretch in the hypervariable region of the spike protein S1 subunit is critical for cell fusion activity of mouse hepatitis virus","Tsai CW, Chang SC, Chang MF.","J Biol Chem. 1999 Sep 10;274(37):26085-90. doi: 10.1074/jbc.274.37.26085.","Tsai CW","J Biol Chem","1999","1999/09/03","","","10.1074/jbc.274.37.26085"
"32952205","Comparison of expression patterns and cell adhesion properties of the mouse biliary glycoproteins Bgp1 and Bgp2","Robitaille J, Izzi L, Daniels E, Zelus B, Holmes KV, Beauchemin N.","Eur J Biochem. 1999 Sep;264(2):534-544. doi: 10.1046/j.1432-1327.1999.00660.x. Epub 2001 Dec 25.","Robitaille J","Eur J Biochem","1999","2020/09/21","PMC7493004","","10.1046/j.1432-1327.1999.00660.x"
"12968761","Monoclonal antibody-based immunohistochemical detection of porcine epidemic diarrhea virus antigen in formalin-fixed, paraffin-embedded intestinal tissues","Kim O, Chae C, Kweon CH.","J Vet Diagn Invest. 1999 Sep;11(5):458-62. doi: 10.1177/104063879901100512.","Kim O","J Vet Diagn Invest","1999","2003/09/13","","","10.1177/104063879901100512"
"12968752","Bovine viral diarrhea virus isolated from fetal calf serum enhances pathogenicity of attenuated transmissible gastroenteritis virus in neonatal pigs","Woods RD, Kunkle RA, Ridpath JE, Bolin SR.","J Vet Diagn Invest. 1999 Sep;11(5):400-7. doi: 10.1177/104063879901100503.","Woods RD","J Vet Diagn Invest","1999","2003/09/13","","","10.1177/104063879901100503"
"10561796","Granulomatous peritonitis and pleuritis in interferon-gamma gene knockout mice naturally infected with mouse hepatitis virus","France MP, Smith AL, Stevenson R, Barthold SW.","Aust Vet J. 1999 Sep;77(9):600-4. doi: 10.1111/j.1751-0813.1999.tb13199.x.","France MP","Aust Vet J","1999","1999/11/24","PMC7159722","","10.1111/j.1751-0813.1999.tb13199.x"
"10561787","CSIRO's 'natural' vaccines","","Aust Vet J. 1999 Sep;77(9):558.","","Aust Vet J","1999","1999/11/24","","",""
"10535517","Feline coronavirus participation in diarrhea of cats","Mochizuki M, Osawa N, Ishida T.","J Vet Med Sci. 1999 Sep;61(9):1071-3. doi: 10.1292/jvms.61.1071.","Mochizuki M","J Vet Med Sci","1999","1999/10/27","","","10.1292/jvms.61.1071"
