PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36694963","Ambulatory blood pressure monitoring in treated patients with hypertension in the COVID-19 pandemic - The study of European society of hypertension (ESH ABPM COVID-19 study)","Wojciechowska W, Rajzer M, Weber T, Prejbisz A, Dobrowolski P, Ostrowska A, Bilo G, Mancia G, Kreutz R, Januszewicz A.","Blood Press. 2023 Dec;32(1):2161998. doi: 10.1080/08037051.2022.2161998.","Wojciechowska W","Blood Press","2023","2023/01/25","","","10.1080/08037051.2022.2161998"
"36692029","Perceptions of COVID-19 risk during the pandemic: perspectives from people seeking medication for opioid use disorder","Clingan SE, Cousins SJ, Lin C, Nguyen TE, Hser YI, Mooney LJ.","Ann Med. 2023 Dec;55(1):480-489. doi: 10.1080/07853890.2023.2169342.","Clingan SE","Ann Med","2023","2023/01/24","PMC9879168","","10.1080/07853890.2023.2169342"
"36651606","Evaluation of pregnancy outcomes in mothers with COVID-19 infection: a systematic review and meta-analysis","Simbar M, Nazarpour S, Sheidaei A.","J Obstet Gynaecol. 2023 Dec;43(1):2162867. doi: 10.1080/01443615.2022.2162867.","Simbar M","J Obstet Gynaecol","2023","2023/01/18","","","10.1080/01443615.2022.2162867"
"36647688","Effect of COVID-19 on cardiac surgery volumes in Sweden","Ivert T, Dalén M, Friberg Ö.","Scand Cardiovasc J. 2023 Dec;57(1):2166102. doi: 10.1080/14017431.2023.2166102.","Ivert T","Scand Cardiovasc J","2023","2023/01/17","","","10.1080/14017431.2023.2166102"
"36644859","Vaccination effects on post-infection outcomes in the Omicron BA.2 outbreak in Shanghai","Wu Q, Wang H, Cai J, Ai J, Li Y, Zhang H, Wang S, Sun F, Wu Y, Zhou J, Wang Y, Yu H, Zhang W.","Emerg Microbes Infect. 2023 Dec;12(1):e2169197. doi: 10.1080/22221751.2023.2169197.","Wu Q","Emerg Microbes Infect","2023","2023/01/16","PMC9888446","","10.1080/22221751.2023.2169197"
"36625506","Immune response to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) vaccination in patients receiving secukinumab: a literature review","Gisondi P, Simon D, Alarcon I, Pournara E, Puig L.","J Dermatolog Treat. 2023 Dec;34(1):2167487. doi: 10.1080/09546634.2023.2167487.","Gisondi P","J Dermatolog Treat","2023","2023/01/10","","","10.1080/09546634.2023.2167487"
"36625336","SARS-CoV-2-infection in the setting of autotransplants for multiple sclerosis","Olivares-Gazca JC, Gale RP, Sánchez-Bonilla D, Gallardo-Pérez MM, Soto-Olvera S, Ruiz-Delgado GJ, Ruiz-Argüelles GJ.","Hematology. 2023 Dec;28(1):2164443. doi: 10.1080/16078454.2022.2164443.","Olivares-Gazca JC","Hematology","2023","2023/01/10","","","10.1080/16078454.2022.2164443"
"36620913","Genetic diversity and molecular epidemiology of Middle East Respiratory Syndrome Coronavirus in dromedaries in Ethiopia, 2017-2020","Zhou Z, Ali A, Walelign E, Demissie GF, El Masry I, Abayneh T, Getachew B, Krishnan P, Ng DYM, Gardner E, Makonnen Y, Miguel E, Chevalier V, Chu DK, So RTY, Von Dobschuetz S, Mamo G, Poon LLM, Peiris M.","Emerg Microbes Infect. 2023 Dec;12(1):e2164218. doi: 10.1080/22221751.2022.2164218.","Zhou Z","Emerg Microbes Infect","2023","2023/01/09","PMC9888459","","10.1080/22221751.2022.2164218"
"36597819","Investigating demographic differences in patients' decisions to consent to COVID-19 research","Robertson K, Reimold K, Moormann AM, Binder R, Matteson KA, Leftwich HK.","J Matern Fetal Neonatal Med. 2023 Dec;36(1):2148097. doi: 10.1080/14767058.2022.2148097.","Robertson K","J Matern Fetal Neonatal Med","2023","2023/01/04","","","10.1080/14767058.2022.2148097"
"36594480","COVID-19 vaccine hesitancy between family decision-makers and non-decision-makers among college teachers","Xu R, Shi G, Zheng S, Tung TH, Zhang M.","Ann Med. 2023 Dec;55(1):292-304. doi: 10.1080/07853890.2022.2162114.","Xu R","Ann Med","2023","2023/01/03","PMC9815219","","10.1080/07853890.2022.2162114"
"36594409","Prevalence of covid-19 among patients with chronic obstructive pulmonary disease and tuberculosis","Muneeb Hassan M, Ameeq M, Jamal F, Tahir MH, Mendy JT.","Ann Med. 2023 Dec;55(1):285-291. doi: 10.1080/07853890.2022.2160491.","Muneeb Hassan M","Ann Med","2023","2023/01/03","PMC9815254","","10.1080/07853890.2022.2160491"
"36594266","Molecular surveillance of potential SARS-CoV-2 reservoir hosts in wildlife rehabilitation centers","Mena J, Hidalgo C, Estay-Olea D, Sallaberry-Pincheira N, Bacigalupo A, Rubio AV, Peñaloza D, Sánchez C, Gómez-Adaros J, Olmos V, Cabello J, Ivelic K, Abarca MJ, Ramírez-Álvarez D, Torregrosa Rocabado M, Durán Castro N, Carreño M, Gómez G, Cattan PE, Ramírez-Toloza G, Robbiano S, Marchese C, Raffo E, Stowhas P, Medina-Vogel G, Landaeta-Aqueveque C, Ortega R, Waleckx E, Gónzalez-Acuña D, Rojo G.","Vet Q. 2023 Dec;43(1):1-10. doi: 10.1080/01652176.2023.2164909.","Mena J","Vet Q","2023","2023/01/03","PMC9858396","","10.1080/01652176.2023.2164909"
"36594261","Cross-neutralization and viral fitness of SARS-CoV-2 Omicron sublineages","Xia H, Yeung J, Kalveram B, Bills CJ, Chen JY, Kurhade C, Zou J, Widen SG, Mann BR, Kondor R, Davis CT, Zhou B, Wentworth DE, Xie X, Shi PY.","Emerg Microbes Infect. 2023 Dec;12(1):e2161422. doi: 10.1080/22221751.2022.2161422.","Xia H","Emerg Microbes Infect","2023","2023/01/03","PMC9848280","","10.1080/22221751.2022.2161422"
